candidate,control,role,stratum,metric,paired_edits,delta,ci_low,ci_high,practical_minus_5pp_reference
P4-W1_KL_0.1,P4-W0_TASK_ONLY,calibration,H_all,semantic,15,0.3,0.1,0.5333333333333333,True
P4-W1_KL_0.1,P4-W0_TASK_ONLY,calibration,H_all,base_correct_damage,15,-0.3333333333333333,-0.5333333333333333,-0.13333333333333333,
P4-W1_KL_0.1,P4-W0_TASK_ONLY,calibration,H_all,kl,15,-0.514892349865598,-0.6362295645521954,-0.4129970035205285,
P4-W1_KL_0.1,P4-W0_TASK_ONLY,calibration,H_base_wrong,semantic,1,0.0,,,True
P4-W1_KL_0.1,P4-W0_TASK_ONLY,calibration,H_base_wrong,base_correct_damage,0,,,,
P4-W1_KL_0.1,P4-W0_TASK_ONLY,calibration,H_base_wrong,kl,1,-0.4623842975124717,,,
P4-W1_KL_0.1,P4-W0_TASK_ONLY,calibration,H_keep,semantic,15,0.3333333333333333,0.13333333333333333,0.5333333333333333,True
P4-W1_KL_0.1,P4-W0_TASK_ONLY,calibration,H_keep,base_correct_damage,15,-0.3333333333333333,-0.5333333333333333,-0.13333333333333333,
P4-W1_KL_0.1,P4-W0_TASK_ONLY,calibration,H_keep,kl,15,-0.5160674873040989,-0.6362295645521954,-0.41459696160939835,
P4-W1_KL_0.1,P4-W0_TASK_ONLY,calibration,U_all,semantic,16,0.2228708791208791,0.1191620879120879,0.33413461538461536,True
P4-W1_KL_0.1,P4-W0_TASK_ONLY,calibration,U_all,base_correct_damage,16,-0.3297461219336219,-0.44897411616161614,-0.22133838383838383,
P4-W1_KL_0.1,P4-W0_TASK_ONLY,calibration,U_all,kl,16,-0.1688907649808653,-0.2134350890785724,-0.12684749555016453,
P4-W1_KL_0.1,P4-W0_TASK_ONLY,calibration,U_base_wrong,semantic,16,-0.047991071428571425,-0.10424107142857143,0.009375000000000001,True
P4-W1_KL_0.1,P4-W0_TASK_ONLY,calibration,U_base_wrong,base_correct_damage,0,,,,
P4-W1_KL_0.1,P4-W0_TASK_ONLY,calibration,U_base_wrong,kl,16,-0.20377300954954816,-0.2720379588401643,-0.14279549912432793,
P4-W1_KL_0.1,P4-W0_TASK_ONLY,calibration,U_keep,semantic,16,0.32974612193362196,0.22140827922077924,0.44936868686868686,True
P4-W1_KL_0.1,P4-W0_TASK_ONLY,calibration,U_keep,base_correct_damage,16,-0.3297461219336219,-0.44897411616161614,-0.22133838383838383,
P4-W1_KL_0.1,P4-W0_TASK_ONLY,calibration,U_keep,kl,16,-0.1499257259923504,-0.19250502256261978,-0.11042683217432094,
P4-W1_KL_0.1,P4-W0_TASK_ONLY,calibration,positive,semantic,16,-0.015625,-0.046875,0.0,True
P4-W1_KL_0.1,P4-W0_TASK_ONLY,calibration,positive,base_correct_damage,8,0.0,0.0,0.0,
P4-W1_KL_0.1,P4-W0_TASK_ONLY,calibration,positive,kl,0,,,,
P4-W1_KL_0.1,P4-W0_TASK_ONLY,challenge,same_answer_context_not_conflict,semantic,15,0.0,0.0,0.0,True
P4-W1_KL_0.1,P4-W0_TASK_ONLY,challenge,same_answer_context_not_conflict,base_correct_damage,11,0.0,0.0,0.0,
P4-W1_KL_0.1,P4-W0_TASK_ONLY,challenge,same_answer_context_not_conflict,kl,15,-0.4638772242350711,-0.587966814968321,-0.3598048684746027,
P4-W1_KL_0.1,P4-W0_TASK_ONLY,evaluation,H_all,semantic,15,0.3,0.1,0.5,True
P4-W1_KL_0.1,P4-W0_TASK_ONLY,evaluation,H_all,base_correct_damage,13,-0.46153846153846156,-0.6923076923076923,-0.23076923076923078,
P4-W1_KL_0.1,P4-W0_TASK_ONLY,evaluation,H_all,kl,15,-0.5178552959890416,-0.6293420704081655,-0.43041552177940806,
P4-W1_KL_0.1,P4-W0_TASK_ONLY,evaluation,H_base_wrong,semantic,5,0.0,0.0,0.0,True
P4-W1_KL_0.1,P4-W0_TASK_ONLY,evaluation,H_base_wrong,base_correct_damage,0,,,,
P4-W1_KL_0.1,P4-W0_TASK_ONLY,evaluation,H_base_wrong,kl,5,-0.5328724392689764,-0.5555885992944241,-0.509772929083556,
P4-W1_KL_0.1,P4-W0_TASK_ONLY,evaluation,H_keep,semantic,13,0.46153846153846156,0.23076923076923078,0.6923076923076923,True
P4-W1_KL_0.1,P4-W0_TASK_ONLY,evaluation,H_keep,base_correct_damage,13,-0.46153846153846156,-0.6923076923076923,-0.23076923076923078,
P4-W1_KL_0.1,P4-W0_TASK_ONLY,evaluation,H_keep,kl,13,-0.5238213985262868,-0.6517174909464442,-0.4164842137028105,
