cohort,track,prefix,role,stratum,strict_role,candidate,control,mode,control_mode,metric,paired_inputs,paired_edits,source_images,patients,delta,ci_low,ci_high,input_delta_micro,image_cluster_delta,image_cluster_ci_low,image_cluster_ci_high,leave_one_image_out_min,leave_one_image_out_max,sensitivity_scope,bootstrap_draws,bootstrap_seed
SLAKE_STAGE2_BANK16,B,1,evaluation,H,STRICT_BASE,W0,W0,RC,R0,semantic,2,1,2,UNKNOWN,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,shared probe-source image; not independent patient proof,10000,20260908
SLAKE_STAGE2_BANK16,B,1,evaluation,H,STRICT_BASE,W0,W0,RC,R0,v4_primary,0,0,0,UNKNOWN,,,,,,,,,,shared probe-source image; not independent patient proof,10000,20260908
SLAKE_STAGE2_BANK16,B,1,evaluation,H,STRICT_BASE,W0,W0,RC,R0,base_correct_damage,2,1,2,UNKNOWN,-1.0,,,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,shared probe-source image; not independent patient proof,10000,20260908
SLAKE_STAGE2_BANK16,B,1,evaluation,H,STRICT_BASE,W0,W0,RC,R0,base_wrong_became_correct,0,0,0,UNKNOWN,,,,,,,,,,shared probe-source image; not independent patient proof,10000,20260908
SLAKE_STAGE2_BANK16,B,1,evaluation,H,STRICT_BASE,W0,W0,RC,R0,base_wrong_changed,0,0,0,UNKNOWN,,,,,,,,,,shared probe-source image; not independent patient proof,10000,20260908
SLAKE_STAGE2_BANK16,B,1,evaluation,H,STRICT_BASE,W0,W0,RC,R0,fpr,2,1,2,UNKNOWN,-1.0,,,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,shared probe-source image; not independent patient proof,10000,20260908
SLAKE_STAGE2_BANK16,B,1,evaluation,H,STRICT_BASE,W01,W01,RC,R0,semantic,2,1,2,UNKNOWN,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,shared probe-source image; not independent patient proof,10000,20260908
SLAKE_STAGE2_BANK16,B,1,evaluation,H,STRICT_BASE,W01,W01,RC,R0,v4_primary,0,0,0,UNKNOWN,,,,,,,,,,shared probe-source image; not independent patient proof,10000,20260908
SLAKE_STAGE2_BANK16,B,1,evaluation,H,STRICT_BASE,W01,W01,RC,R0,base_correct_damage,2,1,2,UNKNOWN,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,shared probe-source image; not independent patient proof,10000,20260908
SLAKE_STAGE2_BANK16,B,1,evaluation,H,STRICT_BASE,W01,W01,RC,R0,base_wrong_became_correct,0,0,0,UNKNOWN,,,,,,,,,,shared probe-source image; not independent patient proof,10000,20260908
SLAKE_STAGE2_BANK16,B,1,evaluation,H,STRICT_BASE,W01,W01,RC,R0,base_wrong_changed,0,0,0,UNKNOWN,,,,,,,,,,shared probe-source image; not independent patient proof,10000,20260908
SLAKE_STAGE2_BANK16,B,1,evaluation,H,STRICT_BASE,W01,W01,RC,R0,fpr,2,1,2,UNKNOWN,-1.0,,,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,shared probe-source image; not independent patient proof,10000,20260908
SLAKE_STAGE2_BANK16,B,1,evaluation,H,STRICT_BASE,W1,W1,RC,R0,semantic,2,1,2,UNKNOWN,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,shared probe-source image; not independent patient proof,10000,20260908
SLAKE_STAGE2_BANK16,B,1,evaluation,H,STRICT_BASE,W1,W1,RC,R0,v4_primary,0,0,0,UNKNOWN,,,,,,,,,,shared probe-source image; not independent patient proof,10000,20260908
SLAKE_STAGE2_BANK16,B,1,evaluation,H,STRICT_BASE,W1,W1,RC,R0,base_correct_damage,2,1,2,UNKNOWN,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,shared probe-source image; not independent patient proof,10000,20260908
SLAKE_STAGE2_BANK16,B,1,evaluation,H,STRICT_BASE,W1,W1,RC,R0,base_wrong_became_correct,0,0,0,UNKNOWN,,,,,,,,,,shared probe-source image; not independent patient proof,10000,20260908
SLAKE_STAGE2_BANK16,B,1,evaluation,H,STRICT_BASE,W1,W1,RC,R0,base_wrong_changed,0,0,0,UNKNOWN,,,,,,,,,,shared probe-source image; not independent patient proof,10000,20260908
SLAKE_STAGE2_BANK16,B,1,evaluation,H,STRICT_BASE,W1,W1,RC,R0,fpr,2,1,2,UNKNOWN,-1.0,,,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,shared probe-source image; not independent patient proof,10000,20260908
SLAKE_STAGE2_BANK16,B,1,evaluation,U,STRICT_BASE,W0,W0,RC,R0,semantic,12,1,12,UNKNOWN,0.16666666666666669,,,0.16666666666666666,0.16666666666666666,0.0,0.4166666666666667,0.09090909090909088,0.18181818181818182,shared probe-source image; not independent patient proof,10000,20260908
SLAKE_STAGE2_BANK16,B,1,evaluation,U,STRICT_BASE,W0,W0,RC,R0,v4_primary,0,0,0,UNKNOWN,,,,,,,,,,shared probe-source image; not independent patient proof,10000,20260908
