probe,edit,condition,semantic,first_token_divergence,activation_perp_ratio,effective_perturbation,logit_margin,na_reason
0,27,B0,1.0,,NA,NA,NA,Stage7 cached fit trajectories only; no common-prefix evaluation activations/logits; no extra diagnostic GPU replay
0,27,B1,1.0,,NA,NA,NA,Stage7 cached fit trajectories only; no common-prefix evaluation activations/logits; no extra diagnostic GPU replay
0,27,B2,1.0,,NA,NA,NA,Stage7 cached fit trajectories only; no common-prefix evaluation activations/logits; no extra diagnostic GPU replay
0,27,B3,1.0,,NA,NA,NA,Stage7 cached fit trajectories only; no common-prefix evaluation activations/logits; no extra diagnostic GPU replay
1,27,B0,1.0,,NA,NA,NA,Stage7 cached fit trajectories only; no common-prefix evaluation activations/logits; no extra diagnostic GPU replay
1,27,B1,1.0,,NA,NA,NA,Stage7 cached fit trajectories only; no common-prefix evaluation activations/logits; no extra diagnostic GPU replay
1,27,B2,1.0,,NA,NA,NA,Stage7 cached fit trajectories only; no common-prefix evaluation activations/logits; no extra diagnostic GPU replay
1,27,B3,1.0,,NA,NA,NA,Stage7 cached fit trajectories only; no common-prefix evaluation activations/logits; no extra diagnostic GPU replay
2,27,B0,1.0,,NA,NA,NA,Stage7 cached fit trajectories only; no common-prefix evaluation activations/logits; no extra diagnostic GPU replay
2,27,B1,1.0,,NA,NA,NA,Stage7 cached fit trajectories only; no common-prefix evaluation activations/logits; no extra diagnostic GPU replay
2,27,B2,1.0,,NA,NA,NA,Stage7 cached fit trajectories only; no common-prefix evaluation activations/logits; no extra diagnostic GPU replay
2,27,B3,1.0,,NA,NA,NA,Stage7 cached fit trajectories only; no common-prefix evaluation activations/logits; no extra diagnostic GPU replay
3,35,B0,1.0,,NA,NA,NA,Stage7 cached fit trajectories only; no common-prefix evaluation activations/logits; no extra diagnostic GPU replay
3,35,B1,1.0,,NA,NA,NA,Stage7 cached fit trajectories only; no common-prefix evaluation activations/logits; no extra diagnostic GPU replay
3,35,B2,1.0,,NA,NA,NA,Stage7 cached fit trajectories only; no common-prefix evaluation activations/logits; no extra diagnostic GPU replay
3,35,B3,1.0,,NA,NA,NA,Stage7 cached fit trajectories only; no common-prefix evaluation activations/logits; no extra diagnostic GPU replay
4,35,B0,1.0,,NA,NA,NA,Stage7 cached fit trajectories only; no common-prefix evaluation activations/logits; no extra diagnostic GPU replay
4,35,B1,0.0,0,NA,NA,NA,Stage7 cached fit trajectories only; no common-prefix evaluation activations/logits; no extra diagnostic GPU replay
4,35,B2,1.0,,NA,NA,NA,Stage7 cached fit trajectories only; no common-prefix evaluation activations/logits; no extra diagnostic GPU replay
4,35,B3,0.0,0,NA,NA,NA,Stage7 cached fit trajectories only; no common-prefix evaluation activations/logits; no extra diagnostic GPU replay
5,35,B0,1.0,,NA,NA,NA,Stage7 cached fit trajectories only; no common-prefix evaluation activations/logits; no extra diagnostic GPU replay
5,35,B1,1.0,14,NA,NA,NA,Stage7 cached fit trajectories only; no common-prefix evaluation activations/logits; no extra diagnostic GPU replay
5,35,B2,1.0,,NA,NA,NA,Stage7 cached fit trajectories only; no common-prefix evaluation activations/logits; no extra diagnostic GPU replay
5,35,B3,1.0,14,NA,NA,NA,Stage7 cached fit trajectories only; no common-prefix evaluation activations/logits; no extra diagnostic GPU replay
6,35,B0,1.0,,NA,NA,NA,Stage7 cached fit trajectories only; no common-prefix evaluation activations/logits; no extra diagnostic GPU replay
6,35,B1,0.0,0,NA,NA,NA,Stage7 cached fit trajectories only; no common-prefix evaluation activations/logits; no extra diagnostic GPU replay
6,35,B2,1.0,,NA,NA,NA,Stage7 cached fit trajectories only; no common-prefix evaluation activations/logits; no extra diagnostic GPU replay
6,35,B3,1.0,,NA,NA,NA,Stage7 cached fit trajectories only; no common-prefix evaluation activations/logits; no extra diagnostic GPU replay
7,66,B0,1.0,,NA,NA,NA,Stage7 cached fit trajectories only; no common-prefix evaluation activations/logits; no extra diagnostic GPU replay
7,66,B1,1.0,,NA,NA,NA,Stage7 cached fit trajectories only; no common-prefix evaluation activations/logits; no extra diagnostic GPU replay
7,66,B2,1.0,,NA,NA,NA,Stage7 cached fit trajectories only; no common-prefix evaluation activations/logits; no extra diagnostic GPU replay
7,66,B3,1.0,,NA,NA,NA,Stage7 cached fit trajectories only; no common-prefix evaluation activations/logits; no extra diagnostic GPU replay
8,66,B0,1.0,,NA,NA,NA,Stage7 cached fit trajectories only; no common-prefix evaluation activations/logits; no extra diagnostic GPU replay
8,66,B1,1.0,0,NA,NA,NA,Stage7 cached fit trajectories only; no common-prefix evaluation activations/logits; no extra diagnostic GPU replay
8,66,B2,1.0,,NA,NA,NA,Stage7 cached fit trajectories only; no common-prefix evaluation activations/logits; no extra diagnostic GPU replay
8,66,B3,1.0,,NA,NA,NA,Stage7 cached fit trajectories only; no common-prefix evaluation activations/logits; no extra diagnostic GPU replay
9,66,B0,1.0,,NA,NA,NA,Stage7 cached fit trajectories only; no common-prefix evaluation activations/logits; no extra diagnostic GPU replay
9,66,B1,1.0,25,NA,NA,NA,Stage7 cached fit trajectories only; no common-prefix evaluation activations/logits; no extra diagnostic GPU replay
9,66,B2,1.0,,NA,NA,NA,Stage7 cached fit trajectories only; no common-prefix evaluation activations/logits; no extra diagnostic GPU replay
9,66,B3,1.0,,NA,NA,NA,Stage7 cached fit trajectories only; no common-prefix evaluation activations/logits; no extra diagnostic GPU replay
