event_index,seed,operating_point,panel,category,n,gain,loss,same_on,same_off
1,20260906,PRIMARY_SAFETY_FIRST,matched,matched_hard_image,20,1,0,0,19
1,20260906,PRIMARY_SAFETY_FIRST,matched,matched_evaluation_positive,4,0,0,3,1
1,20260906,PRIMARY_SAFETY_FIRST,original,formal_T2G,3,0,0,2,1
1,20260906,PRIMARY_SAFETY_FIRST,original,formal_T1G,4,0,0,0,4
1,20260906,PRIMARY_SAFETY_FIRST,original,native,1,0,0,1,0
1,20260906,PRIMARY_SAFETY_FIRST,original,same_image_other_source_fact,12,0,3,2,7
1,20260906,PRIMARY_SAFETY_FIRST,original,broad_unrelated_source_qa,15,0,0,0,15
1,20260906,PRIMARY_SAFETY_FIRST,original,same_question_different_image_conflicting_source_answer,5,1,0,0,4
1,20260906,PRIMARY_SAFETY_FIRST,original,evaluation_positive,4,0,0,3,1
1,20260906,PRIMARY_SAFETY_FIRST,original,reviewed_same_fact_text_augmentation,4,0,0,4,0
1,20260906,SECONDARY_COVERAGE90,matched,matched_hard_image,20,1,0,0,19
1,20260906,SECONDARY_COVERAGE90,matched,matched_evaluation_positive,4,0,0,3,1
1,20260906,SECONDARY_COVERAGE90,original,formal_T2G,3,0,0,2,1
1,20260906,SECONDARY_COVERAGE90,original,formal_T1G,4,0,0,0,4
1,20260906,SECONDARY_COVERAGE90,original,native,1,0,0,1,0
1,20260906,SECONDARY_COVERAGE90,original,same_image_other_source_fact,12,0,3,2,7
1,20260906,SECONDARY_COVERAGE90,original,broad_unrelated_source_qa,15,0,0,0,15
1,20260906,SECONDARY_COVERAGE90,original,same_question_different_image_conflicting_source_answer,5,1,0,0,4
1,20260906,SECONDARY_COVERAGE90,original,evaluation_positive,4,0,0,3,1
1,20260906,SECONDARY_COVERAGE90,original,reviewed_same_fact_text_augmentation,4,0,0,4,0
2,20260906,PRIMARY_SAFETY_FIRST,matched,matched_hard_image,20,8,0,0,12
2,20260906,PRIMARY_SAFETY_FIRST,matched,matched_evaluation_positive,4,0,1,3,0
2,20260906,PRIMARY_SAFETY_FIRST,original,formal_T2G,4,0,0,4,0
2,20260906,PRIMARY_SAFETY_FIRST,original,formal_T1G,4,0,0,1,3
2,20260906,PRIMARY_SAFETY_FIRST,original,native,1,0,0,1,0
2,20260906,PRIMARY_SAFETY_FIRST,original,same_image_other_source_fact,2,0,0,0,2
2,20260906,PRIMARY_SAFETY_FIRST,original,same_question_different_image_conflicting_source_answer,5,2,0,0,3
2,20260906,PRIMARY_SAFETY_FIRST,original,broad_unrelated_source_qa,15,0,0,0,15
2,20260906,PRIMARY_SAFETY_FIRST,original,evaluation_positive,4,0,0,4,0
2,20260906,PRIMARY_SAFETY_FIRST,original,reviewed_same_fact_text_augmentation,4,0,0,4,0
2,20260906,SECONDARY_COVERAGE90,matched,matched_hard_image,20,8,0,0,12
2,20260906,SECONDARY_COVERAGE90,matched,matched_evaluation_positive,4,0,1,3,0
2,20260906,SECONDARY_COVERAGE90,original,formal_T2G,4,0,0,4,0
2,20260906,SECONDARY_COVERAGE90,original,formal_T1G,4,0,0,1,3
2,20260906,SECONDARY_COVERAGE90,original,native,1,0,0,1,0
2,20260906,SECONDARY_COVERAGE90,original,same_image_other_source_fact,2,0,0,0,2
2,20260906,SECONDARY_COVERAGE90,original,same_question_different_image_conflicting_source_answer,5,2,0,0,3
2,20260906,SECONDARY_COVERAGE90,original,broad_unrelated_source_qa,15,0,0,0,15
2,20260906,SECONDARY_COVERAGE90,original,evaluation_positive,4,0,0,4,0
2,20260906,SECONDARY_COVERAGE90,original,reviewed_same_fact_text_augmentation,4,0,0,4,0
3,20260906,PRIMARY_SAFETY_FIRST,matched,matched_hard_image,20,0,0,0,20
3,20260906,PRIMARY_SAFETY_FIRST,matched,matched_evaluation_positive,4,0,0,4,0
3,20260906,PRIMARY_SAFETY_FIRST,original,formal_T1G,4,1,0,3,0
3,20260906,PRIMARY_SAFETY_FIRST,original,formal_T2G,3,2,0,1,0
3,20260906,PRIMARY_SAFETY_FIRST,original,formal_T1L,5,0,0,2,3
3,20260906,PRIMARY_SAFETY_FIRST,original,native,1,0,0,1,0
3,20260906,PRIMARY_SAFETY_FIRST,original,broad_unrelated_source_qa,15,0,0,0,15
3,20260906,PRIMARY_SAFETY_FIRST,original,same_question_different_image_conflicting_source_answer,5,0,0,0,5
3,20260906,PRIMARY_SAFETY_FIRST,original,evaluation_positive,4,0,0,4,0
3,20260906,PRIMARY_SAFETY_FIRST,original,reviewed_same_fact_text_augmentation,4,0,0,4,0
3,20260906,SECONDARY_COVERAGE90,matched,matched_hard_image,20,0,0,0,20
3,20260906,SECONDARY_COVERAGE90,matched,matched_evaluation_positive,4,0,0,4,0
3,20260906,SECONDARY_COVERAGE90,original,formal_T1G,4,1,0,3,0
3,20260906,SECONDARY_COVERAGE90,original,formal_T2G,3,2,0,1,0
3,20260906,SECONDARY_COVERAGE90,original,formal_T1L,5,0,0,2,3
3,20260906,SECONDARY_COVERAGE90,original,native,1,0,0,1,0
3,20260906,SECONDARY_COVERAGE90,original,broad_unrelated_source_qa,15,0,0,0,15
3,20260906,SECONDARY_COVERAGE90,original,same_question_different_image_conflicting_source_answer,5,0,0,0,5
3,20260906,SECONDARY_COVERAGE90,original,evaluation_positive,4,0,0,4,0
3,20260906,SECONDARY_COVERAGE90,original,reviewed_same_fact_text_augmentation,4,0,0,4,0
7,20260906,PRIMARY_SAFETY_FIRST,matched,matched_hard_image,8,0,0,0,8
7,20260906,PRIMARY_SAFETY_FIRST,matched,matched_evaluation_positive,4,0,1,3,0
7,20260906,PRIMARY_SAFETY_FIRST,original,formal_T1G,4,3,0,0,1
7,20260906,PRIMARY_SAFETY_FIRST,original,formal_T2G,4,4,0,0,0
7,20260906,PRIMARY_SAFETY_FIRST,original,native,1,0,0,1,0
7,20260906,PRIMARY_SAFETY_FIRST,original,same_image_other_source_fact,12,0,3,0,9
7,20260906,PRIMARY_SAFETY_FIRST,original,broad_unrelated_source_qa,18,0,0,0,18
7,20260906,PRIMARY_SAFETY_FIRST,original,same_question_different_image_conflicting_source_answer,2,0,0,0,2
7,20260906,PRIMARY_SAFETY_FIRST,original,evaluation_positive,4,0,0,4,0
7,20260906,PRIMARY_SAFETY_FIRST,original,reviewed_same_fact_text_augmentation,4,0,0,4,0
7,20260906,SECONDARY_COVERAGE90,matched,matched_hard_image,8,0,0,0,8
7,20260906,SECONDARY_COVERAGE90,matched,matched_evaluation_positive,4,0,1,3,0
7,20260906,SECONDARY_COVERAGE90,original,formal_T1G,4,3,0,0,1
7,20260906,SECONDARY_COVERAGE90,original,formal_T2G,4,4,0,0,0
7,20260906,SECONDARY_COVERAGE90,original,native,1,0,0,1,0
7,20260906,SECONDARY_COVERAGE90,original,same_image_other_source_fact,12,0,3,0,9
7,20260906,SECONDARY_COVERAGE90,original,broad_unrelated_source_qa,18,0,0,0,18
7,20260906,SECONDARY_COVERAGE90,original,same_question_different_image_conflicting_source_answer,2,0,0,0,2
7,20260906,SECONDARY_COVERAGE90,original,evaluation_positive,4,0,0,4,0
7,20260906,SECONDARY_COVERAGE90,original,reviewed_same_fact_text_augmentation,4,0,0,4,0
13,20260906,PRIMARY_SAFETY_FIRST,matched,matched_hard_image,4,1,0,0,3
13,20260906,PRIMARY_SAFETY_FIRST,matched,matched_evaluation_positive,4,0,2,2,0
13,20260906,PRIMARY_SAFETY_FIRST,original,formal_T2G,4,1,0,1,2
13,20260906,PRIMARY_SAFETY_FIRST,original,formal_T1G,4,2,0,1,1
13,20260906,PRIMARY_SAFETY_FIRST,original,native,1,0,0,1,0
13,20260906,PRIMARY_SAFETY_FIRST,original,same_question_different_image_conflicting_source_answer,1,0,0,0,1
13,20260906,PRIMARY_SAFETY_FIRST,original,broad_unrelated_source_qa,19,0,0,0,19
13,20260906,PRIMARY_SAFETY_FIRST,original,evaluation_positive,4,0,0,4,0
13,20260906,PRIMARY_SAFETY_FIRST,original,reviewed_same_fact_text_augmentation,4,0,0,4,0
13,20260906,SECONDARY_COVERAGE90,matched,matched_hard_image,4,1,0,0,3
13,20260906,SECONDARY_COVERAGE90,matched,matched_evaluation_positive,4,0,2,2,0
13,20260906,SECONDARY_COVERAGE90,original,formal_T2G,4,1,0,1,2
13,20260906,SECONDARY_COVERAGE90,original,formal_T1G,4,2,0,1,1
13,20260906,SECONDARY_COVERAGE90,original,native,1,0,0,1,0
13,20260906,SECONDARY_COVERAGE90,original,same_question_different_image_conflicting_source_answer,1,0,0,0,1
13,20260906,SECONDARY_COVERAGE90,original,broad_unrelated_source_qa,19,0,0,0,19
13,20260906,SECONDARY_COVERAGE90,original,evaluation_positive,4,0,0,4,0
13,20260906,SECONDARY_COVERAGE90,original,reviewed_same_fact_text_augmentation,4,0,0,4,0
15,20260906,PRIMARY_SAFETY_FIRST,matched,matched_hard_image,20,1,2,0,17
15,20260906,PRIMARY_SAFETY_FIRST,matched,matched_evaluation_positive,4,0,1,3,0
15,20260906,PRIMARY_SAFETY_FIRST,original,formal_T1G,2,0,0,0,2
15,20260906,PRIMARY_SAFETY_FIRST,original,formal_T1L,5,1,0,0,4
15,20260906,PRIMARY_SAFETY_FIRST,original,formal_T2G,4,0,0,3,1
15,20260906,PRIMARY_SAFETY_FIRST,original,native,1,0,0,1,0
15,20260906,PRIMARY_SAFETY_FIRST,original,same_question_different_image_conflicting_source_answer,5,0,0,1,4
15,20260906,PRIMARY_SAFETY_FIRST,original,broad_unrelated_source_qa,15,0,0,0,15
15,20260906,PRIMARY_SAFETY_FIRST,original,evaluation_positive,4,0,0,4,0
15,20260906,PRIMARY_SAFETY_FIRST,original,reviewed_same_fact_text_augmentation,4,0,0,4,0
15,20260906,SECONDARY_COVERAGE90,matched,matched_hard_image,20,1,2,0,17
15,20260906,SECONDARY_COVERAGE90,matched,matched_evaluation_positive,4,0,1,3,0
15,20260906,SECONDARY_COVERAGE90,original,formal_T1G,2,0,0,0,2
15,20260906,SECONDARY_COVERAGE90,original,formal_T1L,5,1,0,0,4
15,20260906,SECONDARY_COVERAGE90,original,formal_T2G,4,0,0,3,1
15,20260906,SECONDARY_COVERAGE90,original,native,1,0,0,1,0
15,20260906,SECONDARY_COVERAGE90,original,same_question_different_image_conflicting_source_answer,5,0,0,1,4
15,20260906,SECONDARY_COVERAGE90,original,broad_unrelated_source_qa,15,0,0,0,15
15,20260906,SECONDARY_COVERAGE90,original,evaluation_positive,4,0,0,4,0
15,20260906,SECONDARY_COVERAGE90,original,reviewed_same_fact_text_augmentation,4,0,0,4,0
16,20260906,PRIMARY_SAFETY_FIRST,matched,matched_hard_image,20,1,3,3,13
16,20260906,PRIMARY_SAFETY_FIRST,matched,matched_evaluation_positive,4,0,1,3,0
16,20260906,PRIMARY_SAFETY_FIRST,original,formal_T1G,4,2,0,2,0
16,20260906,PRIMARY_SAFETY_FIRST,original,formal_T1L,5,0,0,4,1
16,20260906,PRIMARY_SAFETY_FIRST,original,formal_T2G,4,0,0,3,1
16,20260906,PRIMARY_SAFETY_FIRST,original,native,1,0,0,1,0
16,20260906,PRIMARY_SAFETY_FIRST,original,same_question_different_image_conflicting_source_answer,5,0,1,1,3
16,20260906,PRIMARY_SAFETY_FIRST,original,broad_unrelated_source_qa,15,0,0,0,15
16,20260906,PRIMARY_SAFETY_FIRST,original,evaluation_positive,4,0,0,4,0
16,20260906,PRIMARY_SAFETY_FIRST,original,reviewed_same_fact_text_augmentation,4,0,0,4,0
16,20260906,SECONDARY_COVERAGE90,matched,matched_hard_image,20,1,3,3,13
16,20260906,SECONDARY_COVERAGE90,matched,matched_evaluation_positive,4,0,1,3,0
16,20260906,SECONDARY_COVERAGE90,original,formal_T1G,4,2,0,2,0
16,20260906,SECONDARY_COVERAGE90,original,formal_T1L,5,0,0,4,1
16,20260906,SECONDARY_COVERAGE90,original,formal_T2G,4,0,0,3,1
16,20260906,SECONDARY_COVERAGE90,original,native,1,0,0,1,0
16,20260906,SECONDARY_COVERAGE90,original,same_question_different_image_conflicting_source_answer,5,0,1,1,3
16,20260906,SECONDARY_COVERAGE90,original,broad_unrelated_source_qa,15,0,0,0,15
16,20260906,SECONDARY_COVERAGE90,original,evaluation_positive,4,0,0,4,0
16,20260906,SECONDARY_COVERAGE90,original,reviewed_same_fact_text_augmentation,4,0,0,4,0
1,20260907,PRIMARY_SAFETY_FIRST,matched,matched_hard_image,20,0,0,4,16
1,20260907,PRIMARY_SAFETY_FIRST,matched,matched_evaluation_positive,4,0,0,4,0
1,20260907,PRIMARY_SAFETY_FIRST,original,formal_T2G,3,0,0,3,0
1,20260907,PRIMARY_SAFETY_FIRST,original,formal_T1G,4,0,1,1,2
1,20260907,PRIMARY_SAFETY_FIRST,original,native,1,0,0,1,0
1,20260907,PRIMARY_SAFETY_FIRST,original,same_image_other_source_fact,12,2,0,4,6
1,20260907,PRIMARY_SAFETY_FIRST,original,broad_unrelated_source_qa,15,0,0,0,15
1,20260907,PRIMARY_SAFETY_FIRST,original,same_question_different_image_conflicting_source_answer,5,2,0,1,2
1,20260907,PRIMARY_SAFETY_FIRST,original,evaluation_positive,4,0,0,4,0
1,20260907,PRIMARY_SAFETY_FIRST,original,reviewed_same_fact_text_augmentation,4,0,0,4,0
1,20260907,SECONDARY_COVERAGE90,matched,matched_hard_image,20,2,0,4,14
1,20260907,SECONDARY_COVERAGE90,matched,matched_evaluation_positive,4,0,0,4,0
1,20260907,SECONDARY_COVERAGE90,original,formal_T2G,3,0,0,3,0
1,20260907,SECONDARY_COVERAGE90,original,formal_T1G,4,0,1,1,2
1,20260907,SECONDARY_COVERAGE90,original,native,1,0,0,1,0
1,20260907,SECONDARY_COVERAGE90,original,same_image_other_source_fact,12,2,0,4,6
1,20260907,SECONDARY_COVERAGE90,original,broad_unrelated_source_qa,15,0,0,0,15
1,20260907,SECONDARY_COVERAGE90,original,same_question_different_image_conflicting_source_answer,5,2,0,1,2
1,20260907,SECONDARY_COVERAGE90,original,evaluation_positive,4,0,0,4,0
1,20260907,SECONDARY_COVERAGE90,original,reviewed_same_fact_text_augmentation,4,0,0,4,0
2,20260907,PRIMARY_SAFETY_FIRST,matched,matched_hard_image,20,0,0,0,20
2,20260907,PRIMARY_SAFETY_FIRST,matched,matched_evaluation_positive,4,0,1,3,0
2,20260907,PRIMARY_SAFETY_FIRST,original,formal_T2G,4,0,0,1,3
2,20260907,PRIMARY_SAFETY_FIRST,original,formal_T1G,4,0,0,0,4
2,20260907,PRIMARY_SAFETY_FIRST,original,native,1,0,0,1,0
2,20260907,PRIMARY_SAFETY_FIRST,original,same_image_other_source_fact,2,0,0,0,2
2,20260907,PRIMARY_SAFETY_FIRST,original,same_question_different_image_conflicting_source_answer,5,0,0,0,5
